index,storeName,placeId,address,category,phone,googleUrl,ratingText,latitude,longitude,stars,numberOfReviews
1,Felix Cafe,ChIJYyHClxr61y0RI9lYOSXDodQ,Jl. Wisma Permai I No.167,Kafe,"",https://www.google.com/maps/place/Felix+Cafe/data=!4m7!3m6!1s0x2dd7fa1a97c22163:0xd4a1c3253958d923!8m2!3d-7.2733092!4d112.7971724!16s%2Fg%2F11b6s02bq_!19sChIJYyHClxr61y0RI9lYOSXDodQ?authuser=0&hl=id&rclk=1,"4,5 bintang 4 Ulasan",-7.2733092,112.7971724,4.5,4
2,De Mandailing Cafe & Eatery,ChIJPbj4Mkb61y0RjOMEdXaSRlo,,Kafe,"",https://www.google.com/maps/place/De+Mandailing+Cafe+%26+Eatery/data=!4m7!3m6!1s0x2dd7fa4632f8b83d:0x5a4692767504e38c!8m2!3d-7.2831208!4d112.7767691!16s%2Fg%2F11b697ct43!19sChIJPbj4Mkb61y0RjOMEdXaSRlo?authuser=0&hl=id&rclk=1,"4,6 bintang 2.399 Ulasan",-7.2831208,112.7767691,4.6,2.399
3,Its milk Point Surabaya,ChIJq100tF761y0RmcUlkfa2eEU,jalan Wisma Permai tengah blok 9 JJ 37,Kafe,"",https://www.google.com/maps/place/Its+milk+Point+Surabaya/data=!4m7!3m6!1s0x2dd7fa5eb4345dab:0x4578b6f69125c599!8m2!3d-7.2754284!4d112.7883254!16s%2Fg%2F11hbntg884!19sChIJq100tF761y0RmcUlkfa2eEU?authuser=0&hl=id&rclk=1,"4,6 bintang 25 Ulasan",-7.2754284,112.7883254,4.6,25
4,Communal Coffee & Eatery,ChIJD_sbwDn61y0RdaSb8mkKB6c,,Kedai Kopi,"",https://www.google.com/maps/place/Communal+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2dd7fa39c01bfb0f:0xa7070a69f29ba475!8m2!3d-7.282058!4d112.776332!16s%2Fg%2F11bc95zhd1!19sChIJD_sbwDn61y0RdaSb8mkKB6c?authuser=0&hl=id&rclk=1,"4,5 bintang 1.404 Ulasan",-7.282058,112.776332,4.5,1.404
5,Kedai d'playa,ChIJof2snKP71y0RyxVfA4W7CA8,Jl. Kejawan Putih Tambak No.70 B,Kafe,"",https://www.google.com/maps/place/Kedai+d%27playa/data=!4m7!3m6!1s0x2dd7fba39cacfda1:0xf08bb85035f15cb!8m2!3d-7.28039!4d112.802475!16s%2Fg%2F11f5vdlpj9!19sChIJof2snKP71y0RyxVfA4W7CA8?authuser=0&hl=id&rclk=1,"5,0 bintang 1 Ulasan",-7.28039,112.802475,5,1
6,Eskopi Indonesia - Mulyosari,ChIJGaE3MGr71y0RmW-cmtvZvBg,Jl. Raya Mulyosari No.338,Kedai Kopi,"",https://www.google.com/maps/place/Eskopi+Indonesia+-+Mulyosari/data=!4m7!3m6!1s0x2dd7fb6a3037a119:0x18bcd9db9a9c6f99!8m2!3d-7.2698304!4d112.7965047!16s%2Fg%2F11lckdrxhj!19sChIJGaE3MGr71y0RmW-cmtvZvBg?authuser=0&hl=id&rclk=1,"4,4 bintang 59 Ulasan",-7.2698304,112.7965047,4.4,59
7,LOT #1 Coffee Bar,ChIJgYB-AQD71y0RLqJ0cOFNG4M,"Mapan, @Clubhouse Grand Peninsula, Jl. Sutorejo Barat",Kafe,"",https://www.google.com/maps/place/LOT+%231+Coffee+Bar/data=!4m7!3m6!1s0x2dd7fb00017e8081:0x831b4de17074a22e!8m2!3d-7.2707183!4d112.7908659!16s%2Fg%2F11vqxj30ww!19sChIJgYB-AQD71y0RLqJ0cOFNG4M?authuser=0&hl=id&rclk=1,"4,4 bintang 67 Ulasan",-7.2707183,112.7908659,4.4,67
8,Dante Coffee,ChIJfznYSCP61y0RUNIlRpKCONc,"PQGJ+3Q3, Jl. Dharmahusada Indah Timur",Kedai Kopi,"",https://www.google.com/maps/place/Dante+Coffee/data=!4m7!3m6!1s0x2dd7fa2348d8397f:0xd73882924625d250!8m2!3d-7.2748711!4d112.7819256!16s%2Fg%2F1v6_dtkk!19sChIJfznYSCP61y0RUNIlRpKCONc?authuser=0&hl=id&rclk=1,"5,0 bintang 2 Ulasan",-7.2748711,112.7819256,5,2
9,H+N Coffee,ChIJ29R-32r71y0RHwhGCWfnUDQ,Jl. Kejawan Gebang No.23,Kedai Kopi,"",https://www.google.com/maps/place/H%2BN+Coffee/data=!4m7!3m6!1s0x2dd7fb6adf7ed4db:0x3450e7670946081f!8m2!3d-7.2855343!4d112.8014487!16s%2Fg%2F11l3p2ymz7!19sChIJ29R-32r71y0RHwhGCWfnUDQ?authuser=0&hl=id&rclk=1,"4,9 bintang 24 Ulasan",-7.2855343,112.8014487,4.9,24
10,HaHa Cafe mulyosari,ChIJVR-fBB361y0RdgF8dNgahOg,"Ruko Central Park, AA.2 ) - Sebelah KFC, Jl. Raya Mulyosari",Kafe,"",https://www.google.com/maps/place/HaHa+Cafe+mulyosari/data=!4m7!3m6!1s0x2dd7fa1d049f1f55:0xe8841ad8747c0176!8m2!3d-7.2660219!4d112.7961642!16s%2Fg%2F11gfmcx4dz!19sChIJVR-fBB361y0RdgF8dNgahOg?authuser=0&hl=id&rclk=1,"4,5 bintang 20 Ulasan",-7.2660219,112.7961642,4.5,20
